6, Дом, Строение, 9231, 11/3/2003, 9004781, 11/14/2003, 21139263
31, Дом, Строение, 2203, 6/28/2004, 2203586, 8/10/2004, 21139271
32, Дом, Строение, 2203, 6/28/2004, 2203585, 8/10/2004, 21221194
37, Дом, Строение, 2044, 7/21/2003, 2201487, 7/29/2003, 21198870
45, Дом, Строение, 2044, 7/21/2003, 2201523, 7/29/2003, 21244802
73, Дом, Строение, 6983, 9/19/2003, 9003920, 9/29/2003, 21244428
91, Дом, Строение, 1249, 6/20/2005, 4008594, 6/22/2005, 21237036
114, Дом, Строение, 2154, 9/7/2004, 4005772, 9/10/2004, 21198884
181, Дом, Строение, 01-41-3132, 11/3/2003, 5006131, 11/14/2003, 21221197
245, Дом, Строение, 9231, 11/3/2003, 9004690, 11/11/2003, 21139294
246, Дом, Строение, 9231, 11/3/2003, 9004689, 11/11/2003, 21246039
249, Дом, Строение, 239, 1/23/2002, 9101754, 2/1/2002, 21221204
250, Дом, Строение, 9231, 11/3/2003, 9004693, 11/11/2003, 21252733
259, Дом, Строение, 9231, 11/3/2003, 9004698, 11/11/2003, 21221207
261, Дом, Строение, 459, 2/7/2005, 9009543, 2/17/2005, 21139315
268, Дом, Строение, 6983, 9/19/2003, 9004310, 10/3/2003, 21246042
269, Дом, Строение, 6983, 9/19/2003, 9004309, 10/3/2003, 21255488
270, Дом, Строение, 6983, 9/19/2003, 9004311, 10/3/2003, 21198891
272, Дом, Строение, 6983, 9/19/2003, 9004317, 10/3/2003, 21182528
273, Дом, Строение, 6983, 9/19/2003, 9004316, 10/3/2003, 21237043
274, Дом, Строение, 6983, 9/19/2003, 9004318, 10/3/2003, 21139323
286, Дом, Строение, 6983, 9/19/2003, 9004421, 10/6/2003, 21244812
287, Дом, Строение, 6983, 9/19/2003, 9004420, 10/6/2003, 21221217
327, Дом, Строение, 6334, 8/22/2005, 9011236, 8/25/2005, 21246046
409, Дом, Строение, 3804, 11/22/2004, 2205235, 11/24/2004, 21255492
410, Дом, Строение, 3804, 11/22/2004, 2205234, 11/24/2004, 21221220
411, Дом, Строение, 3804, 11/22/2004, 2205238, 11/24/2004, 21139343
414, Дом, Строение, 3804, 11/22/2004, 2205257, 11/24/2004, 21221227
416, Дом, Строение, 3371, 12/20/2006, 2212423, 12/28/2006, 21244816
419, Дом, Строение, 3371, 12/20/2006, 2212424, 12/28/2006, 21201453
423, Дом, Строение, 3804, 11/22/2004, 2205337, 11/24/2004, 21221230
426, Дом, Строение, 3804, 11/22/2004, 2205345, 11/24/2004, 21221675
431, Дом, Строение, 3806, 11/22/2004, 2205499, 11/24/2004, 21221678
432, Дом, Строение, 3806, 11/22/2004, 2205497, 11/24/2004, 21221682
433, Дом, Строение, 3371, 12/20/2006, 2212428, 12/28/2006, 21139386
435, Дом, Строение, 3371, 12/20/2006, 2212429, 12/28/2006, 21139395
443, Дом, Строение, 2203, 6/28/2004, 2203608, 8/10/2004, 21210805
449, Дом, Строение, 2203, 6/28/2004, 2203616, 8/10/2004, 21201459
455, Дом, Строение, 3804, 11/22/2004, 2205114, 11/24/2004, 21139403
461, Дом, Строение, 3806, 11/22/2004, 2205579, 11/24/2004, 21221697
475, Дом, Строение, 6983, 9/19/2003, 9003766, 9/25/2003, 21244819
476, Дом, Строение, 6983, 9/19/2003, 9003767, 9/25/2003, 21221701
877, Дом, Строение, 870-р, 3/2/2006, 1015315, 3/27/2006, 21139423
938, Дом, Строение, 2309, 9/11/2003, 4001401, 9/16/2003, 21201465
939, Дом, Строение, 2309, 9/11/2003, 4001151, 9/15/2003, 21244823
994, Дом, Строение, 871-р, 3/2/2006, 1015006, 3/21/2006, 21255505
995, Дом, Строение, 871-р, 3/2/2006, 1015007, 3/21/2006, 21246048
1004, Дом, Строение, 9231, 11/3/2003, 9004820, 11/14/2003, 21210811
1010, Дом, Строение, 9231, 11/3/2003, 9004816, 11/14/2003, 21139432
1017, Дом, Строение, 901-В-РП, 8/28/2003, 3201187, 9/12/2003, 21221711
1039, Дом, Строение, 3682, 5/26/2006, 9014083, 5/31/2006, 21221714
1040, Дом, Строение, 3682, 5/26/2006, 9014082, 5/31/2006, 21252743
1188, Дом, Строение, 7869, 11/1/2005, 9012697, 11/15/2005, 21238523
1194, Дом, Строение, 6983, 9/19/2003, 9004483, 10/6/2003, 21202177
1195, Дом, Строение, 6983, 9/19/2003, 9004487, 10/6/2003, 21221717
1197, Дом, Строение, 6983, 9/19/2003, 9004491, 10/6/2003, 21248354
1198, Дом, Строение, 6983, 9/19/2003, 9004493, 10/6/2003, 21199709
1199, Дом, Строение, 6983, 9/19/2003, 9004492, 10/6/2003, 21221721
1329, Дом, Строение, 3032-р, 6/26/2006, 1017370, 7/5/2006, 21199025
1344, Дом, Строение, 01-41-3132, 11/3/2003, 5006224, 11/17/2003, 21182539
1382, Дом, Строение, 1618-РП, 7/29/2005, 6005809, 8/16/2005, 21199031
1411, Дом, Строение, 6410, 8/10/2004, 9007401, 8/23/2004, 21221724
1412, Дом, Строение, 6410, 8/10/2004, 9007400, 8/23/2004, 21199037
1415, Дом, Строение, 6410, 8/10/2004, 9007379, 8/20/2004, 21139475
1466, Дом, Строение, 4348-p, 10/11/2005, 1013948, 10/27/2005, 21237051
1499, Дом, Строение, 4853-р, 11/1/2006, 1019432, 11/16/2006, 21237055
1553, Дом, Строение, 3028-p, 7/4/2005, 1012163, 7/18/2005, 21246062
1608, Дом, Строение, 7073, 9/9/2004, 9007581, 9/15/2004, 21199715
1610, Дом, Строение, 7073, 9/9/2004, 9007583, 9/15/2004, 21210822
1772, Дом, Строение, 2204, 6/28/2004, 2203398, 6/30/2004, 21237058
1774, Дом, Строение, 2204, 6/28/2004, 2203406, 6/30/2004, 21221730
1775, Дом, Строение, 2204, 6/28/2004, 2203404, 6/30/2004, 21199721
1778, Дом, Строение, 2204, 6/28/2004, 2203412, 6/30/2004, 21221734
1781, Дом, Строение, 2204, 6/28/2004, 2203389, 6/30/2004, 21182563
1782, Дом, Строение, 2204, 6/28/2004, 2203387, 6/30/2004, 21139498
1784, Дом, Строение, 2204, 6/28/2004, 2203395, 6/30/2004, 21139506
1785, Дом, Строение, 2204, 6/28/2004, 2203393, 6/30/2004, 21221743
1858, Дом, Строение, 3371, 12/20/2006, 2212413, 12/28/2006, 21139520
1870, Дом, Строение, 1362, 12/5/1965, 9300932, 2/22/2001, 21221750
2021, Дом, Строение, 3055, 9/13/2004, 2203946, 9/20/2004, 21210828
2022, Дом, Строение, 3055, 9/13/2004, 2203868, 9/17/2004, 21246066
2024, Дом, Строение, 3055, 9/13/2004, 2203889, 9/17/2004, 21139534
2025, Дом, Строение, 3055, 9/13/2004, 2203888, 9/17/2004, 21182568
2027, Дом, Строение, 3055, 9/13/2004, 2203941, 9/20/2004, 21201479
2030, Дом, Строение, 3055, 9/13/2004, 2203893, 9/17/2004, 21139542
2031, Дом, Строение, 3055, 9/13/2004, 2211319, 8/11/2006, 21210834
2034, Дом, Строение, 3055, 9/13/2004, 2203896, 9/17/2004, 21252757
2038, Дом, Строение, 3055, 9/13/2004, 2203936, 9/20/2004, 21139550
2039, Дом, Строение, 3055, 9/13/2004, 2203932, 9/20/2004, 21210846
2041, Дом, Строение, 3055, 9/13/2004, 2203857, 9/17/2004, 21210851
2042, Дом, Строение, 3055, 9/13/2004, 2211320, 8/11/2006, 21140493
2046, Дом, Строение, 3055, 9/13/2004, 2203865, 9/17/2004, 21221766
2047, Дом, Строение, 3055, 9/13/2004, 2203864, 9/17/2004, 21221770
2049, Дом, Строение, 3055, 9/13/2004, 2203871, 9/17/2004, 21255511
2050, Дом, Строение, 3055, 9/13/2004, 2211321, 8/11/2006, 21221773
2052, Дом, Строение, 3055, 9/13/2004, 2203877, 9/17/2004, 21237069
2054, Дом, Строение, 3055, 9/13/2004, 2203883, 9/17/2004, 21140519
2100, Дом, Строение, 3371, 12/20/2006, 2212431, 12/28/2006, 21221779
2400, Дом, Строение, 01-41-3581, 12/29/2003, 5007296, 2/12/2004, 21246069
2406, Дом, Строение, 01-41-2054, 8/19/2004, 5009836, 10/5/2004, 21140532
2411, Дом, Строение, 01-41-3581, 12/29/2003, 5007295, 2/12/2004, 21140540
2432, Дом, Строение, 1131-РП, 6/8/2005, 6004834, 6/16/2005, 21237073
2480, Дом, Строение, 2944-РП, 12/17/2003, 7103801, 12/25/2003, 21140546
2492, Дом, Строение, 781-В-РП, 7/31/2003, 3300594, 8/29/2003, 21221792
2493, Дом, Строение, 781-В-РП, 7/31/2003, 3300584, 8/29/2003, 21221795
2497, Дом, Строение, 1609-В-РП, 11/11/2004, 3304713, 11/19/2004, 21140566
2648, Дом, Строение, 1802, 7/18/2005, 2208257, 7/26/2005, 21140574
2651, Дом, Строение, 1802, 7/18/2005, 2208264, 7/26/2005, 21252767
2652, Дом, Строение, 1802, 7/18/2005, 2208263, 7/26/2005, 21182586
2655, Дом, Строение, 1802, 7/18/2005, 2208266, 7/26/2005, 21140579
2659, Дом, Строение, 2800, 10/9/2003, 2202576, 10/29/2003, 21140587
2668, Дом, Строение, 1802, 7/18/2005, 2208249, 7/26/2005, 21246072
2701, Дом, Строение, 2117, 7/30/2003, 2201907, 8/11/2003, 21210863
2734, Дом, Строение, 3663рп, 9/26/2002, 8003546, 1/15/2003, 21140592
2735, Дом, Строение, 3663рп, 9/26/2002, 8003545, 1/15/2003, 21202184
2827, Дом, Строение, 1272-р, 3/21/2005, 1009665, 4/12/2005, 21221815
2830, Дом, Строение, 1272-р, 3/21/2005, 1009574, 4/14/2005, 21140608
2849, Дом, Строение, 3438, 12/23/2003, 4003092, 1/6/2004, 21140614
2874, Дом, Строение, , , 0, , 21199727
2940, Дом, Строение, 1393-В-РП, 12/24/2003, 3302421, 1/6/2004, 21221825
2945, Дом, Строение, 01-41-832, 4/12/2004, 5008286, 4/22/2004, 21246076
2969, Дом, Строение, 01-41-2054, 8/19/2004, 5009968, 10/8/2004, 21201491
2971, Дом, Строение, 01-41-2054, 8/19/2004, 5009970, 10/8/2004, 21140627
2972, Дом, Строение, 01-41-2054, 8/19/2004, 5009995, 10/8/2004, 21246079
2973, Дом, Строение, 01-41-2054, 8/19/2004, 5009969, 10/8/2004, 21182591
2974, Дом, Строение, 01-41-2054, 8/19/2004, 5009964, 10/8/2004, 21244839
3006, Дом, Строение, 781-В-РП, 7/31/2003, 3300708, 8/29/2003, 21140633
3007, Дом, Строение, 781-В-РП, 7/31/2003, 3300710, 8/29/2003, 21217912
3088, Дом, Строение, 7070, 9/9/2004, 9007960, 9/17/2004, 21237082
3097, Дом, Строение, 1857, 7/25/2005, 2208277, 7/26/2005, 21147233
3126, Дом, Строение, 1708-РП, 7/20/2004, 6003186, 8/4/2004, 21218355
3136, Дом, Строение, 1373-РП, 7/6/2005, 6005673, 7/22/2005, 21237085
3363, Дом, Строение, 01-41-1399, 8/23/2002, 5004574, 12/25/2002, 21246082
3483, Дом, Строение, 2713-p, 6/8/2006, 1016913, 6/21/2006, 21218358
3500, Дом, Строение, 1984-РП, 9/28/2004, 7202942, 9/30/2004, 21199739
3502, Дом, Строение, 1984-РП, 9/28/2004, 7202944, 9/30/2004, 21182608
3505, Дом, Строение, 1984-РП, 9/28/2004, 7202947, 9/30/2004, 21218360
3535, Дом, Строение, 01-41-825, 4/12/2004, 5008004, 4/16/2004, 21252774
3593, Дом, Строение, 2352-РП, 10/9/2002, 7201706, 10/15/2002, 21147259
3610, Дом, Строение, 832-РП, 4/4/2003, 7201975, 4/8/2003, 21218367
3625, Дом, Строение, 832-РП, 4/4/2003, 7202054, 4/9/2003, 21246086
3629, Дом, Строение, 832-РП, 4/4/2003, 7201993, 4/8/2003, 21237092
3746, Дом, Строение, 6983, 9/19/2003, 9004500, 10/6/2003, 21246090
3840, Дом, Строение, 9233, 11/3/2003, 9005802, 11/27/2003, 21252777
3992, Дом, Строение, 1201-В-РП, 9/16/2004, 3303930, 9/23/2004, 21201498
4038, Дом, Строение, 1201-В-РП, 9/16/2004, 3303961, 9/23/2004, 21147271
4039, Дом, Строение, 1201-В-РП, 9/16/2004, 3303958, 9/23/2004, 21183386
4040, Дом, Строение, 1201-В-РП, 9/16/2004, 3303960, 9/23/2004, 21201503
4045, Дом, Строение, 1201-В-РП, 9/16/2004, 3303948, 9/23/2004, 21246093
4101, Дом, Строение, 1201-В-РП, 9/16/2004, 3303965, 9/23/2004, 21218373
4110, Дом, Строение, 1201-В-РП, 9/16/2004, 3303963, 9/23/2004, 21255524
4204, Дом, Строение, 2785рп, 7/26/2002, 8004150, 2/5/2003, 21218377
4270, Дом, Строение, 839-РП, 5/4/2005, 6302891, 5/12/2005, 21244846
4333, Дом, Строение, 30, 1/13/2005, 4008083, 1/20/2005, 21218380
4663, Дом, Строение, 6334, 8/22/2005, 9011256, 8/25/2005, 21211659
4668, Дом, Строение, 6983, 9/19/2003, 9003642, 9/24/2003, 21218383
4689, Дом, Строение, 2785рп, 7/26/2002, 8004164, 2/6/2003, 21147302
4712, Дом, Строение, 2885, 12/28/2006, 4012290, 12/29/2006, 21218390
4727, Дом, Строение, 1247, 6/20/2005, 4008781, 6/24/2005, 21147314
4735, Дом, Строение, 1247, 6/20/2005, 4008777, 6/24/2005, 21183393
4736, Дом, Строение, 1247, 6/20/2005, 4008776, 6/24/2005, 21199750
